"AnimalID"	"Session"	"TrapID"	"Year"	"Session.1"	"Mod_Ses"	"Sex"
1	"2013_2"	"Altan tevsh"	2013	2	2	"F"
1	"2013_2"	"Altan tevsh"	2013	2	2	"F"
1	"2013_2"	"Altan tevsh"	2013	2	2	"F"
1	"2013_4"	"Mukhar zadgai "	2013	4	4	"F"
1	"2013_4"	"Mukhar zadgai "	2013	4	4	"F"
1	"2013_4"	"Mukhar zadgai "	2013	4	4	"F"
1	"2013_4"	"Khatuu bulag"	2013	5	4	"F"
1	"2013_4"	"Khatuu bulag"	2013	5	4	"F"
1	"2017_1"	"Mukhar zadgai "	2017	2	1	"F"
1	"2017_1"	"Mukhar zadgai "	2017	2	1	"F"
1	"2017_1"	"Mukhar zadgai "	2017	2	1	"F"
1	"2017_2"	"Mukhar zadgai "	2017	4	2	"F"
1	"2017_2"	"Altan tevsh"	2017	4	2	"F"
1	"2017_3"	"Khatuu bulag"	2017	6	3	"F"
1	"2017_3"	"Mukhar zadgai "	2017	6	3	"F"
1	"2017_3"	"Mukhar zadgai "	2017	6	3	"F"
1	"2017_3"	"Mukhar zadgai "	2017	6	3	"F"
1	"2017_4"	"Khatuu bulag"	2017	8	4	"F"
1	"2017_4"	"Mukhar zadgai "	2017	8	4	"F"
1	"2017_4"	"Mukhar zadgai "	2017	8	4	"F"
1	"2017_4"	"Mukhar zadgai "	2017	8	4	"F"
1	"2017_4"	"Mukhar zadgai "	2017	8	4	"F"
1	"2017_4"	"Khatuu bulag"	2017	8	4	"F"
2	"2009_3"	"Suujiin bulag"	2009	4	3	"F"
2	"2009_3"	"Suujiin bulag"	2009	4	3	"F"
2	"2009_3"	"Suujiin bulag"	2009	4	3	"F"
3	"2009_1"	"Mukhar zadgai "	2009	2	1	"M"
3	"2009_1"	"Mukhar zadgai "	2009	2	1	"M"
3	"2009_3"	"Mukhar zadgai "	2009	4	3	"M"
3	"2009_3"	"Khutul us"	2009	4	3	"M"
3	"2009_3"	"Khutul us"	2009	4	3	"M"
3	"2009_3"	"Khutul us"	2009	4	3	"M"
3	"2009_4"	"Khukh khuls"	2009	6	4	"M"
3	"2009_4"	"Khukh khuls"	2009	6	4	"M"
3	"2013_1"	"Mukhar zadgai "	2013	1	1	"M"
3	"2013_1"	"Altan tevsh"	2013	1	1	"M"
3	"2013_1"	"Mukhar zadgai "	2013	1	1	"M"
3	"2013_1"	"Khatuu bulag"	2013	1	1	"M"
3	"2013_1"	"Khatuu bulag"	2013	1	1	"M"
3	"2013_1"	"Suujiin bulag"	2013	1	1	"M"
3	"2013_1"	"Suujiin bulag"	2013	1	1	"M"
3	"2013_1"	"Altan tevsh"	2013	1	1	"M"
3	"2013_1"	"Altan tevsh"	2013	1	1	"M"
3	"2013_1"	"Altan tevsh"	2013	1	1	"M"
3	"2013_2"	"Altan tevsh"	2013	2	2	"M"
3	"2013_2"	"Mukhar zadgai "	2013	2	2	"M"
3	"2013_2"	"Altan tevsh"	2013	2	2	"M"
3	"2013_2"	"Altan tevsh"	2013	2	2	"M"
3	"2013_3"	"Khutul us"	2013	3	3	"M"
3	"2013_3"	"Khutul us"	2013	3	3	"M"
3	"2013_3"	"Khutul us"	2013	3	3	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Altan tevsh"	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2013_4"	"Mukhar zadgai "	2013	4	4	"M"
3	"2017_1"	"Suujiin bulag"	2017	2	1	"M"
3	"2017_1"	"Altan tevsh"	2017	2	1	"M"
3	"2017_1"	"Altan tevsh"	2017	2	1	"M"
3	"2017_2"	"Tsagaan tokhoi"	2017	3	2	"M"
3	"2017_2"	"Tsagaan tokhoi"	2017	3	2	"M"
3	"2017_2"	"Suujiin bulag"	2017	4	2	"M"
3	"2017_2"	"Khutul us"	2017	4	2	"M"
3	"2017_2"	"Khatuu bulag"	2017	5	2	"M"
3	"2017_2"	"Khatuu bulag"	2017	5	2	"M"
3	"2017_2"	"Khatuu bulag"	2017	5	2	"M"
3	"2017_2"	"Khatuu bulag"	2017	5	2	"M"
3	"2017_2"	"Khatuu bulag"	2017	5	2	"M"
3	"2017_2"	"Khatuu bulag"	2017	5	2	"M"
3	"2017_2"	"Khatuu bulag"	2017	5	2	"M"
3	"2017_3"	"Mukhar zadgai "	2017	6	3	"M"
3	"2017_3"	"Mukhar zadgai "	2017	6	3	"M"
3	"2017_3"	"Mukhar zadgai "	2017	6	3	"M"
3	"2017_3"	"Mukhar zadgai "	2017	6	3	"M"
3	"2017_4"	"Suujiin bulag"	2017	8	4	"M"
3	"2017_4"	"Suujiin bulag"	2017	8	4	"M"
3	"2017_4"	"Khatuu bulag"	2017	8	4	"M"
3	"2017_4"	"Khatuu bulag"	2017	8	4	"M"
3	"2017_4"	"Khatuu bulag"	2017	8	4	"M"
3	"2017_6"	"Khatuu bulag"	2017	10	6	"M"
3	"2017_6"	"Khatuu bulag"	2017	10	6	"M"
3	"2017_6"	"Tsagaan tokhoi"	2017	10	6	"M"
3	"2017_6"	"Tsagaan tokhoi"	2017	10	6	"M"
3	"2017_6"	"Tsagaan tokhoi"	2017	10	6	"M"
3	"2017_6"	"Tsagaan tokhoi"	2017	10	6	"M"
